title,price
Robô Aspirador Xiaomi - 2C - 2700Pa - Tanque d'água de 250ml - Esfregão Pressurizado e Antibacteriano,"2.899,00"
"Smart Robô Aspirador Wi-Fi Laser PRA1000 Positivo Casa Inteligente, Mapeamento Inteligente, Varre, Aspira, Passa Pano, Retorna para Base, Controle por voz ou pelo App, Bivolt – Compatível com Alexa","1.719,90"
"Aspirador de Pó Robô 1200 Midea, 40W, até 100 Minutos de Autonomia, Reservatório de 800 ML, Bateria Recarregável, Bivolt, Preto, VRA21PB","929,79"
"Samsung Aspirador de pó sem fio Jet Bot Robot com controle de energia inteligente, navegação precisa, limpeza de várias superfícies para pisos de madeira, tapetes, tapetes, anticabelo, VR30T80313W/AA,",N/A
"roborock Q7 MAX Robot aspirador 4200Pa Wi-Fi Robot aspirador e lava-chão com zonas proibidas de 180 min de tempo de execução, Alexa & App Connect para pêlo de animais de estimação aspirador robot","2.999,99"
Aspirador de Pó e Água WAP GTW 10 1400W 140mbar Compacto e Robusto com Soprador 127V,"289,00"
Robo Aspirador Mapeamento Inteligente Neatsvor X600 Pro，Aspirador de pó robo,"1.715,22"
"Shark AV2501S Aspirador de pó robô AI com base autovazia HEPA, sem bolsa, capacidade para 30 dias, navegação LIDAR, perfeito para pelos de animais de estimação, compatível com Alexa, Wi-Fi conectado,",N/A
Aspirador de Pó Vertical WAP POWER SPEED 2000W 3L Potente 2 em 1 com Mangueira Extensora Flexível 220V,"718,98"
Robô Aspirador Liectroux L200 Aspira Passa Pano em Simultâneo Automático Inteligente Bivolt Volta a Carregar Sozinho Compatível com Alexa,"1.899,00"
"Electrolux, STK15 PowerSpeed Ultra - Aspirador Vertical com Fio, 127V, Urban Grey","227,00"
Robô Aspirador de Pó Fast Clean Easy Mondial RB-08 ROBÔ ASPIRADOR DE PÓ RB-08 BIVOLT,"465,90"
"eufy Aspirador de pó robô Clean L60, sucção ultra forte de 5.000 Pa e navegação a laser iPath para limpeza profunda de pelos do chão",N/A
Aspirador de Pó e Água WAP GTW INOX 20 1600W 20 Litros 160 mbar Barril Aço Inox com Soprador 220V,"447,99"
"Robô aspirador de pó LILIN C30B, exibição de mapa AI, Ele é bivolt recarrega 110/220v, controle de voz WiFi, sucção 5KPa, suporte Alexa e Google, aspirador de pó úmido e seco","1.119,00"
"LILIN C30B Robô aspirador de pó, exibição de mapa AI, Ele é bivolt recarrega 110/220v, controle de voz WiFi, sucção 5KPa, suporte Alexa e Google, tecnologia Power Boost, Do Brasil","1.119,00"
LILIN XR500 Aspirador de pó robô.110/220V .com depósito de água e aspirador de esfregona.Mapa de memória multicamada.Planeamento de áreas.Pacote de idiomas ajustável.Compatível com Alexa.No Brasil,"1.649,00"
