Produtos;Vendas(BRL);ROAS;Taxa de conversão;Impressões;Cliques;CTR;Gastos(BRL);CPC(BRL);Pedidos;ACOS
B07YF5T8W1;0,00;0,00;0,0%;8526;20;0,23%;35,49;1,77;0;0,00%
B0CH43CT7Q;0,00;0,00;0,0%;5552;14;0,25%;25,93;1,85;0;0,00%
B09ZJ5R6K8;0,00;0,00;0,0%;1442;5;0,35%;10,03;2,01;0;0,00%
B0849HGWTQ;0,00;0,00;0,0%;366;3;0,82%;9,35;3,12;0;0,00%
B079Z973PM;0,00;0,00;0,0%;289;2;0,69%;5,73;2,87;0;0,00%
B09ZGLW945;0,00;0,00;0,0%;766;4;0,52%;3,74;0,94;0;0,00%
B09WZKFVMK;0,00;0,00;0,0%;685;4;0,58%;2,98;0,74;0;0,00%
B0CLF2RGNL;0,00;0,00;0,0%;123;2;1,63%;2,93;1,47;0;0,00%
B09WZLBQ8J;0,00;0,00;0,0%;889;1;0,11%;2,63;2,63;0;0,00%
B0778RD52Z;0,00;0,00;0,0%;945;1;0,11%;2,11;2,11;0;0,00%
B09Z77PP2W;0,00;0,00;0,0%;332;1;0,30%;1,54;1,54;0;0,00%
B07P74VG6W;0,00;0,00;0,0%;356;2;0,56%;1,45;0,72;0;0,00%
B09XPFTDDQ;0,00;0,00;0,0%;1845;1;0,05%;1,00;1,00;0;0,00%
B0756KV7B6;0,00;0,00;#DIV/0!;221;0;0,00%;0,00;0,00;0;0,00%
B0756KXRLB;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0756LQFF9;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076QCMNYL;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076QDPG79;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076QF6ZW9;0,00;0,00;#DIV/0!;121;0;0,00%;0,00;0,00;0;0,00%
B076QFBRVM;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076QFXQK5;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076QFY88H;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076QGWC5X;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076VLF3M5;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076VMH3HM;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076VQG3CZ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076VR9BQ9;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076VSMLNY;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076VWVK6B;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B076YFR31L;0,00;0,00;#DIV/0!;4;0;0,00%;0,00;0,00;0;0,00%
B076YHVNFC;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0774VJQN9;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0774X8CFY;0,00;0,00;#DIV/0!;42;0;0,00%;0,00;0,00;0;0,00%
B0774Y387B;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0777RV536;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0777RYKP4;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0777S2SXJ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0777S4V83;0,00;0,00;#DIV/0!;30;0;0,00%;0,00;0,00;0;0,00%
B0777THLMP;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0777TLJV2;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0778S1RH8;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B077TFZGTF;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07B9RTXFM;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07CNT84SQ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
